number,value,datetime_start,datetime_complete,duration,params_k_docs_centroid,params_k_groups,state
0,0.08864200860261917,2025-09-27 03:57:10.767053,2025-09-27 03:57:10.779053,0 days 00:00:00.012000,55,14,COMPLETE
1,0.0840621292591095,2025-09-27 03:57:10.780053,2025-09-27 03:57:10.788054,0 days 00:00:00.008001,35,18,COMPLETE
2,0.05273795127868652,2025-09-27 03:57:10.790052,2025-09-27 03:57:10.801056,0 days 00:00:00.011004,40,24,COMPLETE
3,0.107460618019104,2025-09-27 03:57:10.804055,2025-09-27 03:57:10.815056,0 days 00:00:00.011001,40,8,COMPLETE
4,0.06706106662750244,2025-09-27 03:57:10.819060,2025-09-27 03:57:10.829056,0 days 00:00:00.009996,25,15,COMPLETE
5,0.02051360346376896,2025-09-27 03:57:10.832057,2025-09-27 03:57:10.842056,0 days 00:00:00.009999,15,25,COMPLETE
6,0.08031345903873444,2025-09-27 03:57:10.844052,2025-09-27 03:57:10.852054,0 days 00:00:00.008002,60,22,COMPLETE
7,0.10468174517154694,2025-09-27 03:57:10.855056,2025-09-27 03:57:10.865055,0 days 00:00:00.009999,35,10,COMPLETE
8,0.14560365676879883,2025-09-27 03:57:10.868055,2025-09-27 03:57:10.879059,0 days 00:00:00.011004,30,6,COMPLETE
9,0.08643216639757156,2025-09-27 03:57:10.881058,2025-09-27 03:57:10.888054,0 days 00:00:00.006996,30,17,COMPLETE
10,0.15690967440605164,2025-09-27 03:57:10.891057,2025-09-27 03:57:10.905061,0 days 00:00:00.014004,10,5,COMPLETE
11,0.15690967440605164,2025-09-27 03:57:10.909063,2025-09-27 03:57:10.922060,0 days 00:00:00.012997,10,5,COMPLETE
12,0.15690967440605164,2025-09-27 03:57:10.924055,2025-09-27 03:57:10.938058,0 days 00:00:00.014003,10,5,COMPLETE
13,0.1233128011226654,2025-09-27 03:57:10.940056,2025-09-27 03:57:10.953061,0 days 00:00:00.013005,15,11,COMPLETE
14,0.08642622828483582,2025-09-27 03:57:10.955052,2025-09-27 03:57:10.971065,0 days 00:00:00.016013,20,8,COMPLETE
15,0.09364613890647888,2025-09-27 03:57:10.973058,2025-09-27 03:57:10.991068,0 days 00:00:00.018010,10,12,COMPLETE
16,0.13672302663326263,2025-09-27 03:57:10.995053,2025-09-27 03:57:11.015054,0 days 00:00:00.020001,20,5,COMPLETE
17,0.09998853504657745,2025-09-27 03:57:11.017055,2025-09-27 03:57:11.032059,0 days 00:00:00.015004,50,8,COMPLETE
18,0.06331128627061844,2025-09-27 03:57:11.035056,2025-09-27 03:57:11.051064,0 days 00:00:00.016008,10,19,COMPLETE
19,0.08722775429487228,2025-09-27 03:57:11.055064,2025-09-27 03:57:11.076057,0 days 00:00:00.020993,20,13,COMPLETE
20,0.1283055543899536,2025-09-27 03:57:11.079061,2025-09-27 03:57:11.102059,0 days 00:00:00.022998,15,9,COMPLETE
21,0.15690967440605164,2025-09-27 03:57:11.107059,2025-09-27 03:57:11.125057,0 days 00:00:00.017998,10,5,COMPLETE
22,0.13903988897800446,2025-09-27 03:57:11.128055,2025-09-27 03:57:11.146058,0 days 00:00:00.018003,10,6,COMPLETE
23,0.14566363394260406,2025-09-27 03:57:11.149053,2025-09-27 03:57:11.166061,0 days 00:00:00.017008,25,7,COMPLETE
24,0.1460709273815155,2025-09-27 03:57:11.168056,2025-09-27 03:57:11.186061,0 days 00:00:00.018005,15,5,COMPLETE
25,0.09112989902496338,2025-09-27 03:57:11.189058,2025-09-27 03:57:11.208060,0 days 00:00:00.019002,10,10,COMPLETE
26,0.14566363394260406,2025-09-27 03:57:11.211056,2025-09-27 03:57:11.233063,0 days 00:00:00.022007,25,7,COMPLETE
27,0.09326893836259842,2025-09-27 03:57:11.236063,2025-09-27 03:57:11.254062,0 days 00:00:00.017999,20,10,COMPLETE
28,0.10967959463596344,2025-09-27 03:57:11.257056,2025-09-27 03:57:11.277056,0 days 00:00:00.020000,15,7,COMPLETE
29,0.06862353533506393,2025-09-27 03:57:11.281061,2025-09-27 03:57:11.302063,0 days 00:00:00.021002,45,13,COMPLETE
30,0.15690967440605164,2025-09-27 03:57:11.304062,2025-09-27 03:57:11.321062,0 days 00:00:00.017000,10,5,COMPLETE
31,0.15690967440605164,2025-09-27 03:57:11.324063,2025-09-27 03:57:11.344063,0 days 00:00:00.020000,10,5,COMPLETE
32,0.1220121905207634,2025-09-27 03:57:11.347055,2025-09-27 03:57:11.367056,0 days 00:00:00.020001,15,6,COMPLETE
33,0.1284961849451065,2025-09-27 03:57:11.370062,2025-09-27 03:57:11.388058,0 days 00:00:00.017996,10,7,COMPLETE
34,0.09323659539222717,2025-09-27 03:57:11.393060,2025-09-27 03:57:11.438057,0 days 00:00:00.044997,20,9,COMPLETE
35,0.1460709273815155,2025-09-27 03:57:11.445062,2025-09-27 03:57:11.468063,0 days 00:00:00.023001,15,5,COMPLETE
36,0.07361947745084763,2025-09-27 03:57:11.469056,2025-09-27 03:57:11.488060,0 days 00:00:00.019004,30,21,COMPLETE
37,0.13938361406326294,2025-09-27 03:57:11.492060,2025-09-27 03:57:11.514060,0 days 00:00:00.022000,40,9,COMPLETE
38,0.13903988897800446,2025-09-27 03:57:11.517057,2025-09-27 03:57:11.538062,0 days 00:00:00.021005,10,6,COMPLETE
39,0.09300271421670914,2025-09-27 03:57:11.541056,2025-09-27 03:57:11.559061,0 days 00:00:00.018005,60,15,COMPLETE
